Category,Difficulty,Question,Answer,Number
Transformers G1 (1984 Cartoon),Easy,Who is the leader of the Autobots?,Optimus Prime,1
Transformers G1 (1984 Cartoon),Easy,Who is the leader of the Decepticons?,Megatron,2
Transformers G1 (1984 Cartoon),Easy,What does Bumblebee transform into?,A yellow Volkswagen Beetle,3
Transformers G1 (1984 Cartoon),Easy,What planet do the Transformers come from?,Cybertron,4
Transformers G1 (1984 Cartoon),Easy,What is the name of the Autobot who transforms into an ambulance?,Ratchet,5
Transformers G1 (1984 Cartoon),Easy,What is the name of the Autobot who transforms into a semi-truck?,Optimus Prime,6
Transformers G1 (1984 Cartoon),Easy,What is the name of the Decepticon who transforms into a cassette player?,Soundwave,7
Transformers G1 (1984 Cartoon),Easy,What are the small robots that eject from Soundwave?,Cassettes like Ravage and Laserbeak,8
Transformers G1 (1984 Cartoon),Easy,What is the name of the human boy who helps the Autobots?,Spike Witwicky,9
Transformers G1 (1984 Cartoon),Easy,What is the name of the Decepticon who transforms into a jet and is second-in-command?,Starscream,10
Transformers G1 (1984 Cartoon),Medium,What does Megatron transform into?,A gun,11
Transformers G1 (1984 Cartoon),Medium,What is the name of the Autobot scientist?,Wheeljack,12
Transformers G1 (1984 Cartoon),Medium,What does Jazz transform into?,A Porsche 935 Turbo,13
Transformers G1 (1984 Cartoon),Medium,What is the name of the space bridge technology?,The Space Bridge,14
Transformers G1 (1984 Cartoon),Medium,What is the name of Optimus Prime's trailer robot?,Roller,15
Transformers G1 (1984 Cartoon),Medium,Who is the Dinobot leader?,Grimlock,16
Transformers G1 (1984 Cartoon),Medium,What is the name of the combiner team formed by construction vehicles?,Devastator,17
Transformers G1 (1984 Cartoon),Medium,What is the name of the Decepticon triple-changer who can transform into a tank and a jet?,Blitzwing,18
Transformers G1 (1984 Cartoon),Medium,What is the name of the Autobot communications officer?,Blaster,19
Transformers G1 (1984 Cartoon),Medium,What is the name of the Autobot who transforms into a military jeep?,Hound,20
Transformers G1 (1984 Cartoon),Hard,What is the name of Cybertron's creator?,Primus,21
Transformers G1 (1984 Cartoon),Hard,What is the name of the energy source the Transformers seek?,Energon,22
Transformers G1 (1984 Cartoon),Hard,What is the name of the Decepticon city-transformer?,Trypticon,23
Transformers G1 (1984 Cartoon),Hard,What is the name of the Autobot who transforms into a microscope?,Perceptor,24
Transformers G1 (1984 Cartoon),Hard,What is the name of the female Autobot introduced in the cartoon?,Arcee,25
Transformers G1 (1984 Cartoon),Hard,What is the name of the Autobot who transforms into a Formula 1 car?,Mirage,26
Transformers G1 (1984 Cartoon),Hard,What is the name of the Decepticon who transforms into a tank?,Brawl,27
Transformers G1 (1984 Cartoon),Hard,What is the name of the Decepticon combiner made of jets?,Menasor,28
Transformers G1 (1984 Cartoon),Hard,What is the name of the Autobot who transforms into a fire truck?,Inferno,29
Transformers G1 (1984 Cartoon),Hard,What does Teletraan-1 refer to?,The Autobots' computer system,30
Ballet,Easy,What do ballet dancers wear on their feet?,Ballet slippers or pointe shoes,1
Ballet,Easy,What is the name of the spinning move in ballet?,Pirouette,2
Ballet,Easy,What is the name of the position where feet form a straight line?,First position,3
Ballet,Easy,What is the name of the famous ballet about a swan?,Swan Lake,4
Ballet,Easy,What composer wrote 'The Nutcracker'?,Pyotr Ilyich Tchaikovsky,5
Ballet,Easy,What does 'plié' mean in ballet?,To bend,6
Ballet,Easy,What is the name of the leap in ballet?,Grand jeté,7
Ballet,Easy,What is the name of the famous ballet about a doll that comes to life?,Coppélia,8
Ballet,Easy,What is the name of the ballet about a toy soldier and a little girl?,The Nutcracker,9
Ballet,Easy,What do ballet dancers stand on during pointe work?,The tips of their toes,10
Ballet,Medium,What is the name of the ballet where a princess is cursed to sleep for 100 years?,Sleeping Beauty,11
Ballet,Medium,What is the name of the French term for 'chained turns'?,Chaînés,12
Ballet,Medium,What is the name of the Italian term for a 'small jump'?,Petit jeté,13
Ballet,Medium,What does 'arabesque' mean in ballet?,A position where one leg is extended behind the body,14
Ballet,Medium,What is the term for a male ballet dancer?,Danseur,15
Ballet,Medium,What is the name of the famous Russian ballet company?,The Bolshoi Ballet,16
Ballet,Medium,What does 'relevé' mean in ballet?,To rise,17
Ballet,Medium,What is the term for a series of rapid turns on one leg?,Fouetté,18
Ballet,Medium,What is the term for a ballet duet?,Pas de deux,19
Ballet,Medium,What is the name of the ballet about a firebird?,The Firebird,20
Ballet,Hard,What is the oldest ballet company in the world?,Paris Opera Ballet,21
Ballet,Hard,What is the name of the choreographer who created 'The Rite of Spring'?,Vaslav Nijinsky,22
Ballet,Hard,What is the term for a ballet performed without pantomime?,Abstract ballet,23
Ballet,Hard,What is the name of the principal female dancer in a ballet company?,Prima ballerina,24
Ballet,Hard,What is the name of the ballet about a peasant girl who dies of a broken heart?,Giselle,25
Ballet,Hard,What is the term for a spin performed with the working leg bent at the knee?,Attitude turn,26
Ballet,Hard,What is the name of the famous ballet set to Stravinsky's music?,The Firebird,27
Ballet,Hard,What is the name of the ballet move where the dancer jumps and beats their legs together?,Entrechat,28
Ballet,Hard,What is the name of the ballet about a girl who falls in love with a prince disguised as a commoner?,La Sylphide,29
Ballet,Hard,What does 'port de bras' mean in ballet?,Carriage of the arms,30
Terry Pratchett's Discworld,Easy,What shape is the Discworld?,A flat disc,1
Terry Pratchett's Discworld,Easy,What animal carries the Discworld on its back?,Great A'Tuin the turtle,2
Terry Pratchett's Discworld,Easy,What is the name of the Discworld's most famous wizard?,Rincewind,3
Terry Pratchett's Discworld,Easy,What is the name of the city where most of the stories take place?,Ankh-Morpork,4
Terry Pratchett's Discworld,Easy,Who is the ruler of Ankh-Morpork?,Lord Vetinari,5
Terry Pratchett's Discworld,Easy,What is the name of the Discworld's wizards' university?,Unseen University,6
Terry Pratchett's Discworld,Easy,What is the name of the orangutan librarian?,The Librarian,7
Terry Pratchett's Discworld,Easy,What is the name of the witch who lives in Lancre?,Granny Weatherwax,8
Terry Pratchett's Discworld,Easy,What color is magic on the Discworld?,Octarine,9
Terry Pratchett's Discworld,Easy,What is the name of the anthropomorphic personification of death?,Death,10
Terry Pratchett's Discworld,Medium,What is the name of Death's granddaughter?,Susan Sto Helit,11
Terry Pratchett's Discworld,Medium,What is the name of the magical trunk that follows Rincewind?,The Luggage,12
Terry Pratchett's Discworld,Medium,What is the name of the Discworld's greatest thief?,Moist von Lipwig,13
Terry Pratchett's Discworld,Medium,What is the name of the Discworld's version of the Grim Reaper for rats?,The Death of Rats,14
