Category,Difficulty,Question,Answer,Number
Fuller House,Easy,Who is the main character in Fuller House?,DJ Tanner-Fuller,1
Fuller House,Easy,What is the name of DJ's sister?,Stephanie Tanner,2
Fuller House,Easy,What is the name of DJ's best friend?,Kimmy Gibbler,3
Fuller House,Easy,How many children does DJ have?,Three,4
Fuller House,Easy,What is the name of Kimmy's daughter?,Ramona Gibbler,5
Fuller House,Easy,Who lives in the Tanner house with DJ?,Stephanie and Kimmy,6
Fuller House,Easy,What is the name of DJ's oldest son?,Jackson Fuller,7
Fuller House,Easy,What is the name of DJ's middle son?,Max Fuller,8
Fuller House,Easy,What is the name of DJ's youngest son?,Tommy Fuller Jr.,9
Fuller House,Easy,What is the name of Kimmy's ex-husband?,Fernando,10
Fuller House,Medium,What is Stephanie's stage name as a DJ?,DJ Tanner,11
Fuller House,Medium,What is the name of the dog in Fuller House?,Cosmo,12
Fuller House,Medium,What is the name of Ramona's high school?,Bayview High,13
Fuller House,Medium,What is Fernando's job?,Race car driver,14
Fuller House,Medium,Who is DJ's high school sweetheart?,Steve Hale,15
Fuller House,Medium,What is the name of DJ's coworker and potential love interest?,Matt Harmon,16
Fuller House,Medium,What song does Stephanie sing at DJ's wedding?,The Boy Next Door,17
Fuller House,Medium,What is the name of Kimmy's event planning business?,Gibbler Style Party Planning,18
Fuller House,Medium,Who is Jackson's best friend?,Rocki,19
Fuller House,Medium,What is the name of DJ and Kimmy's joint wedding planner?,Gia,20
Fuller House,Hard,What does Stephanie reveal about her health?,She can't have children,21
Fuller House,Hard,What is the name of Fernando's mother?,Maria,22
Fuller House,Hard,What is the name of Jackson's crush in the first season?,Lola,23
Fuller House,Hard,What is the name of DJ's late husband?,Tommy Fuller,24
Fuller House,Hard,Who is the principal of Ramona and Jackson's school?,Principal Cameron,25
Fuller House,Hard,What is the name of the Fuller family's neighbor?,Mrs. Hernandez,26
Fuller House,Hard,What does Max name his pet rabbit?,Garrett,27
Fuller House,Hard,What is the name of Stephanie's baby?,Danielle Jo Tanner,28
Fuller House,Hard,What is the theme song of Fuller House?,Everywhere You Look,29
Fuller House,Hard,What is the name of the singer who performs at Kimmy's bachelorette party?,Lisa Loeb,30
Plants of the Pacific Northwest,Easy,What is the tallest tree in the Pacific Northwest?,Coastal Redwood,1
Plants of the Pacific Northwest,Easy,What type of tree is known for its cones and needles?,Douglas Fir,2
Plants of the Pacific Northwest,Easy,What plant is known for its vibrant purple flowers and thrives in wetlands?,Pacific Lupine,3
Plants of the Pacific Northwest,Easy,What berry is commonly found in the Pacific Northwest and is bright red?,Salmonberry,4
Plants of the Pacific Northwest,Easy,What tree is famous for its peeling bark and is often called a 'paper tree'?,Pacific Madrone,5
Plants of the Pacific Northwest,Easy,What is the name of the iconic moss-covered trees in the Pacific Northwest?,Bigleaf Maple,6
Plants of the Pacific Northwest,Easy,What plant is known as the 'Christmas plant' due to its red berries?,Holly,7
Plants of the Pacific Northwest,Easy,What flower is the state flower of Oregon?,Oregon Grape,8
Plants of the Pacific Northwest,Easy,What type of fern is common on forest floors in the Pacific Northwest?,Sword Fern,9
Plants of the Pacific Northwest,Easy,What plant is known for its sweet berries and thorny bushes?,Blackberry,10
Plants of the Pacific Northwest,Medium,What is the scientific name for the Douglas Fir?,Pseudotsuga menziesii,11
Plants of the Pacific Northwest,Medium,What plant is known as the 'ghost plant' and lacks chlorophyll?,Indian Pipe,12
Plants of the Pacific Northwest,Medium,What is the name of the tall flowering plant often found near water with white flowers?,Cow Parsnip,13
Plants of the Pacific Northwest,Medium,What type of tree produces cedar planks used by Indigenous peoples?,Western Red Cedar,14
Plants of the Pacific Northwest,Medium,What shrub has blue berries and is a favorite for birds?,Red Elderberry,15
Plants of the Pacific Northwest,Medium,What plant is known for its medicinal uses and spiky leaves?,Stinging Nettle,16
Plants of the Pacific Northwest,Medium,What tree produces 'helicopter' seeds in the Pacific Northwest?,Maple,17
Plants of the Pacific Northwest,Medium,What plant is often used to make tea and grows near rivers?,Mint,18
Plants of the Pacific Northwest,Medium,What plant has large leaves and is nicknamed 'Devil's Club'?,Devil's Club,19
Plants of the Pacific Northwest,Medium,What plant is often used in landscaping and has shiny green leaves?,Salal,20
Plants of the Pacific Northwest,Hard,What is the scientific name for the Bigleaf Maple?,Acer macrophyllum,21
Plants of the Pacific Northwest,Hard,What plant is called 'Bear Grass' and is known for its white flowers?,Xerophyllum tenax,22
Plants of the Pacific Northwest,Hard,What rare parasitic plant is often found under conifers?,Pinedrops,23
Plants of the Pacific Northwest,Hard,What is the name of the tree that produces edible seeds called 'hazelnuts'?,American Hazelnut,24
Plants of the Pacific Northwest,Hard,What plant is known for its edible fiddleheads?,Bracken Fern,25
Plants of the Pacific Northwest,Hard,What type of lichen is often found hanging from trees and nicknamed 'Old Man's Beard'?,Usnea,26
Plants of the Pacific Northwest,Hard,What is the scientific name for Western Red Cedar?,Thuja plicata,27
Plants of the Pacific Northwest,Hard,What tree is known for its reddish bark and aromatic wood?,Incense Cedar,28
Plants of the Pacific Northwest,Hard,What shrub is often used for making jam and has small dark berries?,Thimbleberry,29
Plants of the Pacific Northwest,Hard,What plant is called 'Oregon Ash' and grows in wetlands?,Fraxinus latifolia,30
Indiana Jones,Easy,What is Indiana Jones afraid of?,Snakes,1
Indiana Jones,Easy,What is Indiana Jones' hat called?,A fedora,2
Indiana Jones,Easy,What does Indiana Jones use to swing across gaps?,A whip,3
Indiana Jones,Easy,What is Indiana Jones' job?,Archaeologist,4
